Title,Authors,Description,Category,Publisher,Publish Date,Price
Talking from 9 to 5: Women and Men at Work,"By Tannen, Deborah","Your project went off without a hitch--but somebody else got the credit...You averted a crisis brilliantly--but no one noticed...You came to the meeting with a sensational idea--but it was ignored until someone else said the same thing...HOW CAN YOU GET CREDIT & GET AHEAD?In her extraordinary international bestseller, You Just Don't Understand, Deborah Tannen transformed forever the way we look at intimate relationships between women and men. Now she turns her keen ear and observant eye toward the workplace--where the ways in which men and women communicate can determine who gets heard, who gets ahead, and what gets done.An instant classic, Talking From 9 to 5 brilliantly explains women's and men's conversational rituals--and the language barriers we unintentionally erect in the business world. It is a unique and invaluable guide to recognizing the verbal power games and miscommunications that cause good work to be underappreciated or go unnoticed--an essential tool for promoting more positive and productive professional relationships among men and women."," Social Science , Gender Studies",William Morrow Paperbacks,"Saturday, September 1, 2001",Price Starting at $4.99
Snake,By James McClure,,,Littlehampton Book Services Ltd,"Saturday, November 1, 1975",Price Starting at $9.97
Laughing in the Dark: Movie Comedy from Groucho to Woody,"By Sennett, Ted","Surveys the history of cinematic comedy from the 1930s to the present, discussing the various comedic styles, romantic entanglements, and classic sketches of such masters of the genre as W.C. Fields, Mae West, and Mel Brooks"," Performing Arts , General",St Martins Pr,"Wednesday, January 1, 1992",Price Starting at $10.99
Industrial Order and Public Policy,"By Peterson, Richard A.",,,Prentice Hall,"Friday, December 1, 1972",Price Starting at $4.99
Science and Health: Detecting and Correcting Special Needs (Allyn and Bacon Detecting and Correcting Series),"By Rakes, Thomas A. and Choate, Joyce S.",," Education , General",Allyn & Bacon,"Thursday, March 1, 1990",Price Starting at $5.29
New York Entertains.,By Junior League of the City of New York (COR),"Menus for every season and occasion, comprising recipes drawn from the many cuisines of New York City's ethnic neighborhoods and using authentic ingredients"," Cooking , General",Doubleday,"Friday, November 1, 1974",Price Starting at $8.79
"Health at Home: Your Complete Guide to Symptoms, Solutions & Self-Care","By American Institute for Preventive Medicine and Powell, Don R.",," Health & Fitness , Healthy Living",American Institute for Preventive Medicine Press,"Thursday, July 1, 1999",Price Starting at $5.29
Vegetarian Children: A Supportive Guide for Parents,"By Yntema, Sharon",," Health & Fitness , General",McBooks Pr,"Friday, September 1, 1995",Price Starting at $4.99
Social Security: The System That Works,"By Bernstein, Merton D. and Bernstein, Joan Brodshaug","Reassesses the effectiveness of the social security system, argues that private pensions are not inherently better, and looks at the Medicare program"," Social Science , General",Basic Books,"Tuesday, March 1, 1988",Price Starting at $4.99
Captured by History: One Man's Vision of Our Tumultuous Century,"By Toland, John","At age 84, Pulitzer Prize-winning (for  Infamy: The Rising Sun ) historian John Toland reveals in his autobiography how he was able to access and capture the essence of so many key players and events of the 20th century: e.g. interviewing the emperor of Japan, Hitler's inner circle, and secret Chinese contacts regarding the Korean and Vietnam Wars. All these achievements from a man who begins his story: ""I was what the world would term a failure until I was forty-two."" But revealingly, he continues: ""But I did not regard myself as a failure; I learned from every mistake as best as I could."" Toland also credits his early playwriting experience for his highly readable dramatic exposition of history. Annotation c. by Book News, Inc., Portland, Or."," Biography & Autobiography , Historical",St Martins Pr,"Sunday, June 1, 1997",Price Starting at $4.99
Family Words: The Dictionary for People Who Don't Know a Frone from a Brinkle,"By Dickson, Paul",," Reference , Dictionaries",Addison-Wesley,"Saturday, October 1, 1988",Price Starting at $7.54
Ready-to-Use Decorative Corners (Dover Clip Art Ready-to-Use),"By Menten, Ted","Here is a rich anthology that busy graphic artists will find indispensable. Choose from a variety of royalty-free decorative corners, a basic element in any design project, including finely woven floral and foliate motifs: bold geometrics; banners, bunting, stars, firecrackers, and eagles for the Fourth of July; bells, holly, and tree ornaments for Christmas; delicate garlands of summertime blossoms, and much more. This versatile collection supplies over 200 eye-catching and attractive patterns — all printed jet-black on glossy high-quality paper. Designers, artists, illustrators, advertisers, printers, and craftworkers will find this comprehensive archive an excellent source of ideas for a variety of assignments and a worthwhile addition to any working library."," Design , Decorative Arts",Dover Publications,"Sunday, March 1, 1987",Price Starting at $4.99
Living the Bill of Rights: How to Be an Authentic American,"By Hentoff, Nat","Nat Hentoff is one of America's most passionate and prominent writers about civil liberties and civil rights. In Living the Bill of Rights, he has taken what is too often thought of as an abstract issue and enlivened it by focusing on representative individuals for whom the Constitution is a vital part of life. As the late Supreme Court Justice William Brennan told Hentoff, Americans need to know how ""American liberties were won—and what it takes to keep them alive."" With characteristic eloquence, Hentoff covers the full range of American life in these inspiring profiles and stories about public and private heroes—Supreme Court Justices William Brennan and William O. Douglas, Dr. Kenneth Clark, and students, teachers, lawyers, and others who challenge assaults on the Bill of Rights."," History , Americas (North, Central, South, West Indies)",University of California Press,"Wednesday, December 1, 1999",Price Starting at $5.29
Aunt Agatha Plays Tournament Bridge,"By North, Freddie",," Games , General",Faber & Faber,"Saturday, September 1, 1984",Price Starting at $4.99
VISIONS OF TECHNOLOGY: A Century Of Vital Debate About Machines Systems And The Human World (The Sloan Technology Series),"By Rhodes, Richard (EDT)","The Pulitzer Prize-winning author of The Making of the Atomic Bomb provides a unique perspective on the twentieth century through a lively collection of writings about the unexpected and paradoxical ways in which technology has changed our lives -- and will affect our future.  Technology has been the blessing and the bane of the twentieth century. Human lifespan has nearly doubled in the West, but in no century have more human beings ever been killed by new technologies of war. Improvements in agriculture have fed increasing billions, but pesticides and chemicals threaten to poison the Earth.  Does technology improve us or diminish us? Enslave us or make us free? The problems and paradoxes of technology have stirred impassioned debate, yet, despite the central role technology has played in this century, Visions of Technology is the first book to explore the rich diversity of commentary about this vital subject.  Guided by the eminent Richard Rhodes, the reader of this provocative treasury will find highlighted the views of such prominent technological figures as Henry Ford, H. G. Wells, Rachel Carson, Margaret Sanger, Aldous Huxley, John Glenn and Gordon E. Moore. Visions of Technology also features thought-provoking images -- from the first X ray to R. Crumb's comic apocalypse -- which inform this original, much-needed roundtable.  Among the gems of opinion and history of technology gathered in this volume are Henry Ford on the horseless carriage, Thorstein Veblen on the discipline of the machine, David McCullough on the Panama Canal, Billy Mitchell on air warfare, Margaret Sanger on birth control, Robert Caro on Robert Moses, Charles Lindbergh on flying, James Agee on overalls, Lieutenant General Leslie R. Groves on the Manhattan Project, J. Robert Oppenheimer on science and war, Isaac Asimov on robotics, Alva Myrdal on ""Blue Jeans and Coca-Cola,"" Joan Didion on the Hoover Dam and Julian L. Simon on the pitfalls of making predictions (of which there are many in the 214 selections that make up this book).  At once a work of cultural history and of literature, Visions of Technology is an indispensable guide to understanding the world we have created for ourselves in the twentieth century and the problems we face at its conclusion."," Science , General",Simon & Schuster,"Monday, March 1, 1999",Price Starting at $19.70
